lat,lon,num_tweets,num_users
40.323,-79.963,6,3
40.363,-80.02,5,3
40.299,-79.989,1,1
40.444,-80.028,73,56
40.356,-80.08,5,2
40.507,-79.992,119,1
40.394,-79.992,36,3
40.565,-79.857,7,2
40.468,-80.0,1,1
40.325,-80.091,13,2
40.385,-79.895,2,2
40.535,-79.997,8,3
40.5,-80.134,4,4
40.443,-79.929,2,2
40.316,-79.893,33,5
40.316,-80.022,23,3
40.47,-80.099,7,6
40.279,-80.117,59,2
40.38,-79.86,1,1
40.616,-79.903,8,2
40.608,-80.019,1,1
40.505,-80.187,1,1
40.576,-80.076,6,3
40.537,-79.972,6,6
40.409,-80.083,253,14
40.465,-80.146,1,1
40.362,-80.134,1,1
40.366,-80.052,1,1
40.503,-80.015,4,3
40.627,-79.995,2,1
40.429,-80.037,23,3
40.343,-80.145,22,3
40.38,-79.831,3,1
40.43,-80.062,12,3
40.424,-79.985,8,4
40.362,-79.931,2,1
40.507,-80.093,8,3
40.41,-80.091,5,3
40.332,-80.024,33,16
40.479,-80.072,1,1
40.448,-79.952,125,67
40.442,-79.945,368,96
40.537,-80.029,4,3
40.56,-80.014,18,7
40.273,-80.162,1,1
40.584,-80.008,4,1
40.479,-80.031,11,6
40.469,-80.143,1,1
40.36,-79.826,2,2
40.398,-79.874,2,2
40.582,-80.06,1,1
40.575,-79.96,1,1
40.48,-80.178,8,2
40.381,-79.908,1,1
40.425,-79.812,1,1
40.369,-80.127,1,1
40.43,-79.934,1,1
40.434,-79.821,6,6
40.329,-79.826,1,1
40.555,-80.022,50,42
40.451,-80.055,114,5
40.405,-79.873,20,1
40.47,-80.065,3,2
40.603,-80.034,7,2
40.481,-79.95,1272,20
40.509,-80.05,304,3
40.456,-79.872,62,5
40.438,-80.142,2,2
40.326,-80.188,1,1
40.307,-79.821,1,1
40.348,-79.942,233,48
40.521,-80.011,132,2
40.449,-79.906,2,2
40.395,-80.019,262,10
40.419,-79.999,8,2
40.41,-80.142,26,3
40.263,-79.887,83,1
40.466,-80.15,61,9
40.356,-80.068,5,2
40.317,-79.862,3,3
40.304,-80.049,3,3
40.334,-80.072,17,13
40.513,-80.2,1,1
40.437,-79.913,2,2
40.48,-80.068,8,6
40.631,-80.097,13,12
40.378,-79.805,295,10
40.291,-80.036,3,1
40.331,-80.112,1,1
40.319,-80.071,247,3
40.251,-79.884,1,1
40.463,-79.81,3,3
40.371,-80.075,10,1
40.347,-80.054,78,61
40.612,-79.973,1,1
40.242,-79.962,4,2
40.269,-79.885,2,2
40.449,-79.885,35,7
40.408,-79.916,169,114
40.515,-80.002,13,8
40.478,-80.06,5,4
40.454,-79.928,40,7
40.376,-79.923,25,1
40.307,-79.824,3,3
40.52,-80.059,10,10
40.578,-79.923,1,1
40.58,-80.102,9,5
40.328,-80.008,1,1
40.364,-79.828,1,1
40.307,-80.167,1,1
40.313,-79.895,3,3
40.46,-79.863,1,1
40.395,-80.011,34,4
40.323,-79.985,1,1
40.627,-80.063,1,1
40.359,-79.982,12,11
40.615,-80.061,6,5
40.516,-80.138,2,2
40.332,-79.823,1,1
40.265,-80.01,1,1
40.271,-79.822,1,1
40.359,-79.862,1,1
40.35,-79.801,2,2
40.379,-80.149,5,5
40.353,-79.828,22,5
40.526,-79.851,29,13
40.398,-79.978,3,3
40.559,-80.122,4,1
40.339,-79.855,2,1
40.398,-79.988,42,11
40.389,-80.058,10,9
40.377,-79.984,22,12
40.469,-80.028,414,12
40.356,-80.001,4,3
40.413,-79.822,2,2
40.38,-80.172,4,3
40.362,-79.855,59,7
40.59,-80.092,1,1
40.629,-79.946,1,1
40.496,-79.946,12,5
40.558,-80.038,2,1
40.345,-80.092,6,2
40.4,-80.086,19,3
40.536,-79.904,1,1
40.304,-79.997,2,2
40.592,-80.107,1,1
40.581,-80.099,3,2
40.626,-79.978,43,2
