BASIM,M
BASMA,F
BASMATH,F
BASSAM,M
BASSEM,M
BASTIAAN,M
BASTIAN,M
BASTIEN,M
BASU,M
BASYA,F
BATHSHEBA,F
BATTISTA,M
BATYA,F
BATYAH,F
BAUDOUIN,M
BAUTISTA,M
BAYLEE,F
BEA,F
BEARACH,M
BEATA,F
BEÁTA,F
BEATE,F
BEATHAG,F
BEATHAN,M
BEATRICE,F
BÉATRICE,F
BEATRIS,F
BEATRIU,F
BEATRIX,F
BEATRIZ,F
BEAU,M
BEAULAH,F
BEAUMONT,M
BEAUREGARD,M
BEAVIS,M
BEBE,F
BÉBHINN,F
BÉBHIONN,F
BÉBINN,F
BECCA,F
BECKA,F
BECKAH,F
BECKI,F
BECKIE,F
BECKY,F
BEDE,M
BEDELIA,F
BEDIVERE,M
BEDRICH,M
BEDROS,M
BEDWYR,M
BEE,F
BEELZEBUB,M
BEHNAM,M
BEHRAM,M
BEHRUZ,M
BÉIBHINN,F
BEILEAG,F
BEITRIS,F
BEKKI,F
BÉLA,M
BELEN,F
BELENUS,M
BELGIN,F
BELI,M
BELIA,F
BELINDA,F
BELKIS,F
BELL,F
BELLA,F
BELLE,F
BELLONA,F
BELPHOEBE,F
BELVA,F
BEN,M
BENAIAH,M
BENCE,M
BENDIKS,M
BENDT,M
BENEDEK,M
BENEDETTA,F
BENEDETTO,M
BENEDICT,M
BENEDICTA,F
BÉNÉDICTE,F
BENEDIKT,M
BENEDIKTA,F
BENEDIKTE,F
BENEDITA,F
BENEDITO,M
BENESH,M
BENGT,M
BENGTA,F
BENIAMINO,M
BENIGNA,F
BENIGNO,M
BENITA,F
BENITO,M
BENJAMIN,M
BENJAMÍN,M
BENJAMINE,F
BENJY,M
BENNETT,M
BENNIE,M
BENNO,M
BENNY,M
BENOIT,M
BENOITE,F
BENSON,M
BENT,M
BENTE,F
BENTLEY,M
BENTO,M
BENTON,M
BENVENUTO,M
BEOWULF,M
BEPPE,M
BER,M
BERACH,M
BERENICE,F
BERGLIOT,F
BERGLJOT,F
BERIT,F
BERJOUHI,F
BERK,M
BERKANT,M
BERKER,M
BERLIN,F
BERNA,F
BERNADETT,F
BERNADETTE,F
BERNADINE,F
