date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Mon Jun 30 2014 00:00:00 GMT+0000 (UTC),6751437,,,,,,,,,,151550,94135 
Tue Jul 01 2014 00:00:00 GMT+0000 (UTC),6808131,,,,,,,,,,151550,94779 
Wed Jul 02 2014 00:00:00 GMT+0000 (UTC),6873492,,,,,,,,,,151550,95399 
Thu Jul 03 2014 00:00:00 GMT+0000 (UTC),6930696,,,,,,,,,,151550,96227 
Fri Jul 04 2014 00:00:00 GMT+0000 (UTC),6989300,,,,,,,,,,151550,97170 
Sat Jul 05 2014 00:00:00 GMT+0000 (UTC),7046396,,,,,,,,,,151550,99015 
Sun Jul 06 2014 00:00:00 GMT+0000 (UTC),7095364,,,,,,,,,,151550,101239 
Mon Jul 07 2014 00:00:00 GMT+0000 (UTC),7148750,,,,,,,,,,151550,102562 
Tue Jul 08 2014 00:00:00 GMT+0000 (UTC),7204973,,,,,,,,,,151550,103276 
Wed Jul 09 2014 00:00:00 GMT+0000 (UTC),7267170,,,,,,,,,,151550,103877 
Thu Jul 10 2014 00:00:00 GMT+0000 (UTC),7324849,,,,,,,,,,151550,104542 
Fri Jul 11 2014 00:00:00 GMT+0000 (UTC),7380873,,,,,,,,,,151550,105254 
Sat Jul 12 2014 00:00:00 GMT+0000 (UTC),7440552,,,,,,,,,,151550,106064 
Sun Jul 13 2014 00:00:00 GMT+0000 (UTC),7492157,,,,,,,,,,151550,106911 
Mon Jul 14 2014 00:00:00 GMT+0000 (UTC),7550341,,,,,,,,,,151550,107683 
Tue Jul 15 2014 00:00:00 GMT+0000 (UTC),7605627,,,,,,,,,,151550,108437 
Wed Jul 16 2014 00:00:00 GMT+0000 (UTC),7664140,,,,,,,,,,151550,109186 
Thu Jul 17 2014 00:00:00 GMT+0000 (UTC),7719831,,,,,,,,,,151550,109923 
Fri Jul 18 2014 00:00:00 GMT+0000 (UTC),7776886,,,,,,,,,,151550,110538 
Sat Jul 19 2014 00:00:00 GMT+0000 (UTC),7829107,,,,,,,,,,151550,111293 
Sun Jul 20 2014 00:00:00 GMT+0000 (UTC),7880426,,,,,,,,,,151550,112503 
Mon Jul 21 2014 00:00:00 GMT+0000 (UTC),7933933,,,,,,,,,,151550,113749 
Tue Jul 22 2014 00:00:00 GMT+0000 (UTC),7987876,,,,,,,,,,151550,114604 
